career,programming_concept_percentage,communication_skills_percentage,hours_working_per_day,hackathons,coding_skills_rating,public_speaking_points,self_learning_capability,certifications,workshops,interested_subjects,interested_career_area,company_type
Software Developer,79,61,8,2,9,5,7,1,3,"['Web Development', 'Mobile Development', 'Game Development']",['Technology'],Service
Software Developer,83,68,8,1,9,7,8,2,4,['Web Development'],['Technology'],Startup
Software Developer,76,63,8,2,9,5,9,2,2,"['Game Development', 'Web Development']",['Technology'],Product
Software Developer,93,79,9,4,9,4,8,1,2,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,89,61,6,4,8,4,8,1,3,['Game Development'],['Technology'],Startup
Software Developer,88,79,7,4,9,5,8,1,3,['Game Development'],['Technology'],Startup
Software Developer,75,60,7,3,8,7,8,2,2,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Product
Software Developer,84,77,7,2,9,4,7,1,3,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Product
Software Developer,96,52,7,1,9,6,7,2,4,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Service
Software Developer,79,78,9,4,8,4,9,1,3,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Product
Software Developer,96,61,7,4,8,4,9,2,3,"['Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,97,53,9,3,8,7,9,2,2,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Startup
Software Developer,90,71,8,2,8,5,8,2,3,"['Mobile Development', 'Game Development']",['Technology'],Startup
Software Developer,75,70,7,2,9,6,8,1,4,['Mobile Development'],['Technology'],Service
Software Developer,81,79,6,1,9,4,7,2,4,['Mobile Development'],['Technology'],Service
Software Developer,83,54,7,4,9,6,9,2,4,"['Mobile Development', 'Game Development']",['Technology'],Startup
Software Developer,72,52,7,3,9,7,9,2,2,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Service
Software Developer,84,79,7,4,8,6,9,2,2,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Product
Software Developer,74,69,7,1,8,4,7,2,2,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Service
Software Developer,96,68,9,2,9,6,8,1,3,"['Mobile Development', 'Game Development', 'Web Development']",['Technology'],Product
Software Developer,89,58,7,2,8,4,7,2,2,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Product
Software Developer,99,75,8,3,8,4,7,1,4,['Game Development'],['Technology'],Service
Software Developer,98,66,8,4,9,7,7,1,4,['Mobile Development'],['Technology'],Startup
Software Developer,95,74,8,3,8,5,9,1,2,['Web Development'],['Technology'],Startup
Software Developer,81,63,6,2,8,4,7,1,4,['Mobile Development'],['Technology'],Product
Software Developer,71,65,6,3,9,6,9,2,4,['Web Development'],['Technology'],Startup
Software Developer,95,60,9,4,9,6,9,1,3,"['Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,73,78,9,2,9,6,7,2,2,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,96,59,8,2,8,6,7,1,3,['Web Development'],['Technology'],Product
Software Developer,94,68,6,3,8,5,9,1,2,['Mobile Development'],['Technology'],Product
Software Developer,85,65,7,4,8,6,8,1,2,"['Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,90,76,9,2,9,5,8,1,4,"['Mobile Development', 'Game Development', 'Web Development']",['Technology'],Service
Software Developer,80,76,8,1,8,4,8,1,3,"['Mobile Development', 'Game Development']",['Technology'],Startup
Software Developer,73,58,7,4,9,6,9,1,4,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Startup
Software Developer,80,73,9,2,8,6,8,2,2,"['Game Development', 'Mobile Development']",['Technology'],Startup
Software Developer,75,65,9,2,8,4,9,1,3,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Service
Software Developer,75,57,9,4,8,5,7,1,2,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Product
Software Developer,73,59,9,1,9,6,8,1,3,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,83,58,7,3,9,6,8,2,2,"['Mobile Development', 'Game Development']",['Technology'],Product
Software Developer,70,71,6,2,8,7,8,2,2,['Web Development'],['Technology'],Startup
Software Developer,78,55,6,1,8,6,8,2,4,['Game Development'],['Technology'],Product
Software Developer,76,76,9,2,8,5,9,1,3,"['Web Development', 'Mobile Development']",['Technology'],Product
Software Developer,77,77,8,2,8,4,8,2,2,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Product
Software Developer,95,78,6,4,8,5,9,1,3,"['Web Development', 'Mobile Development']",['Technology'],Startup
Software Developer,96,70,7,2,9,6,7,1,2,['Web Development'],['Technology'],Startup
Software Developer,79,64,8,4,9,6,8,1,3,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,73,59,8,3,8,6,8,1,2,"['Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,82,58,9,3,8,6,8,1,2,['Game Development'],['Technology'],Service
Software Developer,86,57,6,1,8,4,8,2,3,"['Web Development', 'Mobile Development', 'Game Development']",['Technology'],Service
Software Developer,90,68,7,3,9,7,8,2,2,"['Web Development', 'Game Development']",['Technology'],Product
Software Developer,78,74,8,3,9,7,7,1,4,"['Web Development', 'Mobile Development']",['Technology'],Startup
Software Developer,71,74,7,2,9,5,7,2,3,"['Mobile Development', 'Game Development', 'Web Development']",['Technology'],Product
Software Developer,92,71,7,3,8,7,9,2,2,"['Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,71,56,6,3,8,5,7,2,3,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Service
Software Developer,72,58,9,2,8,7,7,2,2,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Startup
Software Developer,94,68,9,1,8,4,9,1,2,['Game Development'],['Technology'],Startup
Software Developer,75,60,6,1,9,7,8,1,3,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Service
Software Developer,97,78,8,4,8,7,7,2,2,"['Mobile Development', 'Game Development', 'Web Development']",['Technology'],Product
Software Developer,72,50,9,1,8,7,7,1,4,"['Web Development', 'Mobile Development', 'Game Development']",['Technology'],Startup
Software Developer,77,54,8,2,9,6,9,2,4,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Product
Software Developer,88,77,7,2,9,5,8,1,3,"['Web Development', 'Mobile Development', 'Game Development']",['Technology'],Startup
Software Developer,85,64,8,1,8,6,9,1,3,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,74,55,6,2,8,5,7,2,2,['Mobile Development'],['Technology'],Startup
Software Developer,86,75,6,1,9,4,7,2,3,['Web Development'],['Technology'],Product
Software Developer,95,66,9,3,8,7,8,1,2,"['Mobile Development', 'Game Development', 'Web Development']",['Technology'],Service
Software Developer,70,66,6,3,8,4,8,2,2,"['Game Development', 'Web Development']",['Technology'],Service
Software Developer,71,52,8,3,8,6,8,2,4,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Product
Software Developer,96,59,8,1,8,4,9,1,4,['Web Development'],['Technology'],Startup
Software Developer,72,54,8,3,8,7,7,2,4,['Web Development'],['Technology'],Startup
Software Developer,79,65,9,3,8,7,9,1,4,"['Game Development', 'Mobile Development']",['Technology'],Service
Software Developer,87,67,6,2,9,7,7,2,4,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,79,54,9,1,8,6,8,2,2,['Game Development'],['Technology'],Product
Software Developer,92,66,9,1,8,4,8,2,3,"['Web Development', 'Mobile Development']",['Technology'],Product
Software Developer,80,70,8,1,8,5,9,1,3,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Service
Software Developer,76,66,8,3,9,5,8,2,2,"['Game Development', 'Mobile Development', 'Web Development']",['Technology'],Product
Software Developer,94,52,6,1,9,7,9,2,4,"['Mobile Development', 'Web Development']",['Technology'],Service
Software Developer,73,60,8,4,9,6,7,2,4,"['Mobile Development', 'Web Development']",['Technology'],Startup
Software Developer,79,57,8,1,9,7,9,1,3,"['Game Development', 'Mobile Development']",['Technology'],Service
Software Developer,91,79,8,4,9,6,9,1,4,['Game Development'],['Technology'],Startup
Software Developer,72,50,7,3,8,6,9,1,3,['Mobile Development'],['Technology'],Service
Software Developer,73,79,7,3,9,4,8,1,3,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Startup
Data Scientist,66,69,7,1,8,7,9,3,5,['Cloud Computing'],['Research'],Service
Data Scientist,76,79,8,1,9,5,8,2,3,['Cloud Computing'],['Technology'],Service
Data Scientist,77,79,8,2,9,8,9,3,4,"['AI/ML', 'Cloud Computing']","['Research', 'Technology']",Product
Data Scientist,62,88,6,1,8,7,9,2,5,['AI/ML'],['Technology'],MNC
Data Scientist,76,60,6,2,8,8,9,3,5,"['Data Science', 'AI/ML', 'Cloud Computing']",['Research'],MNC
Data Scientist,63,81,8,3,8,5,9,3,5,"['Data Science', 'Cloud Computing']","['Research', 'Technology']",MNC
Data Scientist,76,82,8,3,7,6,9,2,5,"['Data Science', 'AI/ML']",['Research'],Service
Data Scientist,64,87,8,1,8,6,8,3,4,['Cloud Computing'],"['Research', 'Technology']",Product
Data Scientist,76,65,7,2,7,6,8,2,3,['Data Science'],"['Research', 'Technology']",Service
Data Scientist,65,88,7,2,9,6,9,2,3,['Cloud Computing'],"['Technology', 'Research']",MNC
Data Scientist,80,74,6,2,9,8,9,3,4,"['Cloud Computing', 'Data Science']",['Technology'],MNC
Data Scientist,71,73,8,2,8,7,9,2,5,['AI/ML'],['Research'],Product
Data Scientist,61,63,6,3,8,8,8,2,5,['AI/ML'],"['Research', 'Technology']",MNC
Data Scientist,65,78,6,3,9,8,9,2,3,"['Data Science', 'AI/ML', 'Cloud Computing']",['Technology'],Product
Data Scientist,82,78,8,2,9,7,8,3,3,"['Data Science', 'AI/ML', 'Cloud Computing']",['Technology'],Service
Data Scientist,89,67,7,3,9,6,8,3,5,"['AI/ML', 'Cloud Computing', 'Data Science']","['Technology', 'Research']",MNC
Data Scientist,61,73,8,3,7,6,8,3,5,"['Data Science', 'Cloud Computing']",['Technology'],Product
Data Scientist,85,71,8,2,7,8,8,2,3,['AI/ML'],['Technology'],MNC
Data Scientist,66,70,7,1,9,5,9,2,5,"['Cloud Computing', 'AI/ML', 'Data Science']","['Technology', 'Research']",Product
Data Scientist,88,69,6,3,9,8,9,3,4,"['Cloud Computing', 'AI/ML', 'Data Science']",['Technology'],MNC
Data Scientist,87,81,6,1,7,5,8,3,4,['Data Science'],"['Research', 'Technology']",MNC
Data Scientist,72,85,8,1,9,6,8,2,5,"['AI/ML', 'Data Science', 'Cloud Computing']","['Technology', 'Research']",MNC
Data Scientist,63,70,8,1,7,8,9,3,5,['Cloud Computing'],"['Technology', 'Research']",Service
Data Scientist,75,85,6,3,8,7,9,3,3,"['Cloud Computing', 'Data Science']","['Technology', 'Research']",MNC
Data Scientist,76,86,8,3,7,8,8,3,5,['Cloud Computing'],"['Research', 'Technology']",Product
Data Scientist,89,73,8,2,8,8,8,2,4,"['Cloud Computing', 'AI/ML', 'Data Science']","['Research', 'Technology']",Product
Data Scientist,69,80,6,3,7,8,9,2,5,['AI/ML'],['Research'],Product
Data Scientist,79,84,7,2,8,8,9,2,5,['Data Science'],"['Research', 'Technology']",Product
Data Scientist,85,71,6,1,9,8,9,3,3,"['AI/ML', 'Data Science', 'Cloud Computing']",['Technology'],Product
Data Scientist,64,79,8,1,9,6,9,3,4,['Cloud Computing'],"['Technology', 'Research']",Service
Data Scientist,81,74,8,3,8,7,8,3,5,['Data Science'],"['Technology', 'Research']",Product
Data Scientist,82,81,6,1,8,8,8,2,3,['Data Science'],"['Technology', 'Research']",Service
Data Scientist,73,82,6,1,7,8,8,3,4,['Data Science'],['Research'],Service
Data Scientist,73,64,8,3,7,8,8,2,5,['Data Science'],"['Research', 'Technology']",MNC
Data Scientist,63,75,8,3,9,5,9,2,5,"['Data Science', 'Cloud Computing']",['Technology'],MNC
Data Scientist,64,89,6,3,9,8,8,3,4,"['Cloud Computing', 'Data Science']","['Technology', 'Research']",Product
Data Scientist,87,65,8,3,7,8,9,3,3,"['Cloud Computing', 'Data Science', 'AI/ML']","['Research', 'Technology']",Product
Data Scientist,67,62,6,3,8,5,9,2,4,"['Data Science', 'AI/ML', 'Cloud Computing']",['Research'],Service
Data Scientist,62,71,8,3,8,5,8,3,4,"['Data Science', 'AI/ML', 'Cloud Computing']",['Research'],Product
Data Scientist,89,75,8,3,8,8,8,2,5,"['AI/ML', 'Data Science']",['Research'],Product
Data Scientist,65,62,7,2,7,8,8,2,4,['Data Science'],['Technology'],Product
Data Scientist,74,72,7,3,7,5,9,2,3,"['AI/ML', 'Cloud Computing', 'Data Science']","['Research', 'Technology']",MNC
Data Scientist,82,75,7,3,7,7,8,2,4,"['AI/ML', 'Data Science']","['Technology', 'Research']",MNC
Data Scientist,70,69,7,2,7,5,9,2,4,"['Data Science', 'AI/ML', 'Cloud Computing']",['Research'],MNC
Data Scientist,84,65,6,2,8,7,8,3,5,['AI/ML'],['Technology'],Product
Data Scientist,86,72,6,3,7,6,9,3,4,"['Cloud Computing', 'AI/ML', 'Data Science']",['Research'],MNC
Data Scientist,65,79,6,3,9,7,8,3,3,['AI/ML'],"['Research', 'Technology']",Product
Data Scientist,74,73,8,1,9,6,9,2,5,"['AI/ML', 'Cloud Computing', 'Data Science']",['Research'],Product
Data Scientist,60,88,7,3,9,5,9,3,3,['Data Science'],['Research'],MNC
Data Scientist,86,86,8,2,8,5,8,3,3,"['AI/ML', 'Cloud Computing']",['Research'],Service
Data Scientist,82,61,6,3,8,7,8,2,4,['Data Science'],"['Technology', 'Research']",Service
Data Scientist,62,63,6,1,7,5,9,3,4,['Cloud Computing'],"['Technology', 'Research']",Product
Data Scientist,80,87,7,1,8,8,8,3,3,['Cloud Computing'],"['Technology', 'Research']",Service
Data Scientist,79,87,6,2,7,7,8,3,3,"['AI/ML', 'Data Science', 'Cloud Computing']","['Technology', 'Research']",Service
Data Scientist,81,67,7,3,8,8,8,3,3,['Data Science'],['Research'],Service
Data Scientist,78,71,8,1,9,8,9,2,5,"['Cloud Computing', 'AI/ML', 'Data Science']","['Technology', 'Research']",Product
Data Scientist,60,80,8,2,7,7,9,2,3,"['Cloud Computing', 'Data Science', 'AI/ML']","['Research', 'Technology']",Service
Data Scientist,71,85,8,2,9,6,9,3,4,"['Cloud Computing', 'AI/ML']","['Technology', 'Research']",Product
Data Scientist,84,85,8,3,7,8,9,2,5,"['Cloud Computing', 'AI/ML']",['Research'],Service
Data Scientist,75,71,6,2,8,5,8,2,4,['AI/ML'],"['Research', 'Technology']",Service
Data Scientist,82,61,8,1,8,5,8,3,4,"['AI/ML', 'Cloud Computing']",['Research'],Product
Data Scientist,84,72,8,1,7,7,8,3,3,"['Cloud Computing', 'Data Science']","['Research', 'Technology']",Service
Data Scientist,65,68,6,1,8,6,9,2,3,['Cloud Computing'],['Technology'],Service
Data Scientist,86,66,7,1,9,8,9,2,4,['AI/ML'],['Research'],Product
Data Scientist,70,73,7,3,7,8,8,2,5,"['Data Science', 'Cloud Computing', 'AI/ML']",['Research'],Product
Data Scientist,74,82,6,2,7,7,8,2,4,"['Cloud Computing', 'AI/ML']","['Technology', 'Research']",Service
Data Scientist,60,72,8,1,7,8,9,2,5,"['AI/ML', 'Cloud Computing']","['Technology', 'Research']",Product
Data Scientist,79,88,7,1,8,8,9,3,5,['Cloud Computing'],"['Technology', 'Research']",Service
Data Scientist,87,84,8,2,9,8,9,3,4,"['Cloud Computing', 'Data Science', 'AI/ML']",['Technology'],MNC
Data Scientist,78,63,8,2,7,8,9,2,3,['AI/ML'],['Research'],Service
Data Scientist,86,69,7,2,8,8,9,2,4,"['Data Science', 'AI/ML', 'Cloud Computing']","['Research', 'Technology']",Product
Data Scientist,80,70,6,2,8,8,9,2,4,['Data Science'],['Technology'],Service
Data Scientist,70,71,6,2,8,6,8,2,3,"['Cloud Computing', 'AI/ML']",['Technology'],Product
Data Scientist,68,83,8,2,8,6,8,2,5,['Data Science'],"['Research', 'Technology']",Product
Data Scientist,63,87,7,2,9,6,9,3,4,['AI/ML'],['Technology'],MNC
Data Scientist,69,85,8,2,7,6,9,2,5,"['AI/ML', 'Cloud Computing', 'Data Science']",['Research'],Service
Data Scientist,83,64,7,3,7,6,9,3,3,"['AI/ML', 'Data Science', 'Cloud Computing']",['Research'],Service
Data Scientist,79,71,7,3,8,8,9,2,4,['Cloud Computing'],"['Technology', 'Research']",MNC
Data Scientist,79,60,8,3,9,5,9,3,4,"['AI/ML', 'Cloud Computing', 'Data Science']",['Research'],MNC
Data Scientist,77,60,7,2,8,6,8,3,4,['Data Science'],"['Technology', 'Research']",Service
Data Scientist,78,64,8,3,7,7,9,3,4,"['Data Science', 'Cloud Computing']",['Research'],Product
Data Scientist,68,82,6,1,9,8,8,2,3,"['AI/ML', 'Data Science', 'Cloud Computing']","['Technology', 'Research']",Service
Data Scientist,60,73,8,3,7,8,8,2,3,"['Cloud Computing', 'Data Science', 'AI/ML']",['Research'],Product
Data Scientist,89,70,8,1,8,5,9,3,5,['AI/ML'],['Technology'],Product
Data Scientist,73,77,7,3,8,7,8,3,3,"['Cloud Computing', 'AI/ML']",['Research'],Service
Data Scientist,73,86,6,3,7,5,9,2,5,['Data Science'],['Technology'],Product
Data Scientist,75,61,8,2,9,5,8,3,4,['Cloud Computing'],['Technology'],MNC
Data Scientist,89,63,6,3,7,7,9,2,3,"['Cloud Computing', 'Data Science']","['Technology', 'Research']",Service
Data Scientist,71,85,6,1,9,5,8,3,4,['Cloud Computing'],"['Research', 'Technology']",Product
Data Scientist,75,84,6,2,9,8,9,3,3,"['Data Science', 'Cloud Computing']",['Technology'],Service
Data Scientist,60,73,7,3,9,5,8,2,4,"['Data Science', 'Cloud Computing', 'AI/ML']",['Research'],Service
Data Scientist,75,85,8,1,8,8,8,2,4,"['Data Science', 'Cloud Computing']","['Research', 'Technology']",Service
Data Scientist,72,60,6,2,7,7,8,2,3,"['Cloud Computing', 'AI/ML']","['Research', 'Technology']",Service
Data Scientist,83,88,7,2,7,8,8,3,3,"['Data Science', 'Cloud Computing']","['Technology', 'Research']",Product
Data Scientist,77,83,7,1,7,8,9,3,4,"['Cloud Computing', 'Data Science', 'AI/ML']","['Technology', 'Research']",Product
Data Scientist,69,68,6,2,8,7,8,3,4,"['AI/ML', 'Cloud Computing', 'Data Science']",['Research'],MNC
Data Scientist,76,89,7,3,9,6,9,2,3,"['AI/ML', 'Cloud Computing']","['Research', 'Technology']",Product
Data Scientist,74,73,8,2,9,7,9,2,3,['Data Science'],['Technology'],Service
Data Scientist,81,86,6,1,8,5,8,2,4,"['AI/ML', 'Data Science']",['Technology'],MNC
Data Scientist,78,80,7,3,7,7,9,3,4,['Cloud Computing'],"['Research', 'Technology']",MNC
DevOps Engineer,68,60,9,1,8,7,9,4,3,"['DevOps', 'Cybersecurity', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,81,62,7,1,7,6,9,3,3,['Cybersecurity'],['Technology'],Product
DevOps Engineer,68,68,7,1,8,5,8,2,2,"['Cloud Computing', 'Cybersecurity', 'DevOps']",['Technology'],Service
DevOps Engineer,84,67,8,2,7,4,8,4,4,"['Cloud Computing', 'Cybersecurity', 'DevOps']",['Technology'],Product
DevOps Engineer,79,60,7,1,7,6,8,3,2,"['Cloud Computing', 'Cybersecurity']",['Technology'],Product
DevOps Engineer,74,71,9,2,8,6,8,4,4,['Cloud Computing'],['Technology'],Service
DevOps Engineer,74,63,9,2,8,5,8,2,2,['DevOps'],['Technology'],MNC
DevOps Engineer,87,61,8,1,8,6,9,3,2,['DevOps'],['Technology'],Product
DevOps Engineer,79,75,8,2,8,5,8,2,4,['Cybersecurity'],['Technology'],Product
DevOps Engineer,76,66,9,2,7,4,9,4,2,"['Cloud Computing', 'DevOps', 'Cybersecurity']",['Technology'],Service
DevOps Engineer,88,59,9,2,7,6,9,4,3,"['DevOps', 'Cloud Computing', 'Cybersecurity']",['Technology'],Product
DevOps Engineer,92,82,7,1,8,7,9,3,2,['Cybersecurity'],['Technology'],Product
DevOps Engineer,87,60,9,1,8,4,9,4,3,['Cybersecurity'],['Technology'],Service
DevOps Engineer,94,70,8,1,8,6,9,2,3,"['Cybersecurity', 'Cloud Computing', 'DevOps']",['Technology'],Product
DevOps Engineer,73,75,8,2,8,6,9,3,4,"['DevOps', 'Cybersecurity', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,75,73,8,1,7,4,9,3,4,"['Cloud Computing', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,90,65,8,2,8,7,8,3,4,"['DevOps', 'Cybersecurity']",['Technology'],Product
DevOps Engineer,89,69,8,2,8,5,8,4,4,['Cybersecurity'],['Technology'],Service
DevOps Engineer,87,73,9,1,8,6,9,3,2,"['DevOps', 'Cloud Computing', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,70,59,8,2,7,7,9,3,3,"['DevOps', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,87,75,9,1,7,4,9,2,4,['DevOps'],['Technology'],MNC
DevOps Engineer,86,56,7,2,7,6,9,2,3,"['Cybersecurity', 'Cloud Computing']",['Technology'],MNC
DevOps Engineer,74,77,8,1,7,6,8,2,4,"['Cloud Computing', 'DevOps', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,83,70,9,2,8,6,8,3,4,"['Cybersecurity', 'Cloud Computing']",['Technology'],Service
DevOps Engineer,90,60,9,2,8,4,9,3,3,"['Cybersecurity', 'DevOps', 'Cloud Computing']",['Technology'],MNC
DevOps Engineer,90,74,8,2,8,4,9,4,2,['Cybersecurity'],['Technology'],Product
DevOps Engineer,90,70,7,1,7,6,9,3,3,['Cloud Computing'],['Technology'],MNC
DevOps Engineer,78,62,7,2,7,5,9,3,4,"['DevOps', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,91,70,8,2,8,5,9,2,2,"['Cybersecurity', 'Cloud Computing', 'DevOps']",['Technology'],MNC
DevOps Engineer,92,72,7,1,7,7,8,3,3,"['DevOps', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,66,74,7,2,7,6,8,4,3,['DevOps'],['Technology'],Service
DevOps Engineer,86,83,8,2,7,4,9,4,3,"['Cybersecurity', 'Cloud Computing', 'DevOps']",['Technology'],MNC
DevOps Engineer,81,80,9,2,8,7,9,3,4,"['Cybersecurity', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,82,70,8,2,8,6,9,3,4,['Cybersecurity'],['Technology'],Product
DevOps Engineer,68,56,8,1,8,5,9,3,3,"['Cybersecurity', 'DevOps']",['Technology'],MNC
DevOps Engineer,84,60,9,1,7,7,9,3,4,"['Cybersecurity', 'DevOps', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,71,84,9,2,7,5,8,2,4,['DevOps'],['Technology'],MNC
DevOps Engineer,87,80,8,2,8,5,8,2,2,['DevOps'],['Technology'],Service
DevOps Engineer,85,77,8,2,7,7,8,4,2,"['Cloud Computing', 'DevOps', 'Cybersecurity']",['Technology'],Service
DevOps Engineer,76,59,8,2,7,4,8,4,3,"['DevOps', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,87,63,8,2,8,5,9,4,4,"['DevOps', 'Cloud Computing', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,93,62,7,1,8,6,9,4,4,"['Cloud Computing', 'DevOps']",['Technology'],MNC
DevOps Engineer,78,58,7,1,8,4,9,2,4,"['Cybersecurity', 'DevOps']",['Technology'],Product
DevOps Engineer,81,69,8,2,7,5,9,4,3,"['Cybersecurity', 'DevOps']",['Technology'],Service
DevOps Engineer,92,55,9,2,7,4,8,2,4,['DevOps'],['Technology'],Service
DevOps Engineer,72,64,7,2,7,4,9,2,4,"['DevOps', 'Cloud Computing', 'Cybersecurity']",['Technology'],Service
DevOps Engineer,81,80,7,2,7,6,9,4,2,['DevOps'],['Technology'],MNC
DevOps Engineer,69,80,7,1,8,5,8,4,2,['Cloud Computing'],['Technology'],MNC
DevOps Engineer,88,68,8,1,8,6,8,2,2,"['Cloud Computing', 'DevOps', 'Cybersecurity']",['Technology'],Product
DevOps Engineer,76,67,8,2,8,4,9,3,4,['Cloud Computing'],['Technology'],Service
DevOps Engineer,73,63,7,2,8,6,8,2,2,['Cloud Computing'],['Technology'],MNC
DevOps Engineer,88,73,8,1,8,7,8,2,2,"['Cloud Computing', 'Cybersecurity', 'DevOps']",['Technology'],Service
DevOps Engineer,83,68,9,2,8,6,8,3,4,"['Cloud Computing', 'Cybersecurity']",['Technology'],MNC
DevOps Engineer,87,68,7,2,8,5,8,4,4,['Cloud Computing'],['Technology'],Service
DevOps Engineer,87,55,9,2,8,6,8,4,4,"['Cloud Computing', 'Cybersecurity', 'DevOps']",['Technology'],Product
DevOps Engineer,74,66,8,1,7,6,9,3,4,"['Cloud Computing', 'DevOps']",['Technology'],MNC
DevOps Engineer,75,71,8,2,7,5,8,4,2,['Cybersecurity'],['Technology'],Service
DevOps Engineer,88,55,8,2,8,7,9,4,2,"['Cybersecurity', 'DevOps']",['Technology'],Service
DevOps Engineer,80,80,8,1,8,5,9,4,3,"['Cloud Computing', 'Cybersecurity', 'DevOps']",['Technology'],Service
DevOps Engineer,68,74,9,1,8,4,9,4,3,['Cybersecurity'],['Technology'],MNC
DevOps Engineer,83,57,9,2,8,7,8,2,4,"['Cloud Computing', 'DevOps']",['Technology'],Product
DevOps Engineer,80,76,7,2,7,7,8,3,2,"['Cloud Computing', 'DevOps', 'Cybersecurity']",['Technology'],Product
DevOps Engineer,79,61,9,1,7,4,8,2,2,"['Cybersecurity', 'DevOps', 'Cloud Computing']",['Technology'],Product
DevOps Engineer,74,69,7,1,8,7,8,2,2,['Cybersecurity'],['Technology'],MNC
